Date,AABA,AAPL,AMZN,AXP,BA,CAT,CSCO,CVX,DIS,GE,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,XOM
2006-01-03,40.91,10.68,47.58,52.58,70.44,57.8,17.45,59.08,24.4,35.37,217.83,128.87,41.24,82.06,25.57,61.63,40.19,20.45,33.52,79.11,32.75,26.84,10.74,23.78,58.78,45.99,61.73,56.53,30.38,46.23,58.47
2006-01-04,40.97,10.71,47.25,51.95,71.17,59.27,17.85,58.91,23.99,35.32,222.84,127.09,40.48,81.95,25.91,62.58,39.62,20.41,33.82,78.71,33.13,26.97,10.69,24.55,58.89,46.5,61.88,56.19,31.27,46.32,58.57
2006-01-05,41.53,10.63,47.65,52.5,70.33,59.27,18.35,58.19,24.41,35.23,225.85,127.04,40.08,82.5,26.27,62.32,39.74,20.51,33.86,77.99,33.18,26.99,10.76,24.58,58.7,46.95,61.69,55.98,31.63,45.69,58.28
2006-01-06,43.21,10.9,47.87,52.68,69.35,60.45,18.77,59.25,24.74,35.47,233.06,128.84,40.38,84.95,26.31,62.6,40.02,20.7,34.06,78.63,33.12,26.91,10.72,24.85,58.64,47.21,62.9,56.16,31.35,45.88,59.43
2006-01-09,43.42,10.86,47.08,53.99,68.77,61.55,19.06,58.95,25.0,35.38,233.68,130.39,40.82,83.73,26.47,62.99,40.67,20.8,34.71,79.02,33.66,26.86,10.88,24.85,59.08,47.23,61.4,56.8,31.48,45.71,59.4
2006-01-10,42.98,11.55,45.65,53.83,69.1,61.3,18.97,59.24,25.32,35.19,235.11,132.03,41.8,84.07,26.12,63.1,40.73,20.82,34.74,78.53,33.33,27.0,10.9,24.44,58.85,46.89,62.61,56.84,31.61,45.86,59.86
2006-01-11,41.87,11.99,44.93,53.54,70.1,61.33,19.4,59.84,25.56,35.43,236.05,131.97,42.95,84.17,26.14,62.5,40.7,20.84,35.34,78.37,33.46,27.29,10.91,24.75,59.06,47.65,61.85,55.98,31.99,46.57,60.27
2006-01-12,40.89,12.04,44.36,53.55,69.69,62.21,19.2,59.89,25.64,35.0,232.05,132.25,42.55,83.57,25.97,62.21,39.95,20.72,34.79,77.7,33.48,27.14,10.79,24.58,58.41,47.37,62.53,55.46,32.11,45.74,59.64
2006-01-13,39.9,12.23,44.4,53.44,69.48,62.33,18.92,60.36,25.7,35.1,233.36,133.26,41.91,83.17,25.79,61.82,39.92,20.66,34.47,77.5,33.47,27.19,10.78,24.67,58.9,47.25,60.94,55.66,32.18,45.4,60.97
2006-01-17,40.11,12.1,44.0,52.96,68.69,62.96,18.68,61.86,25.38,34.94,233.79,132.59,41.57,83.0,25.52,61.28,39.71,20.52,34.59,77.09,33.21,26.99,10.6,24.28,58.65,46.43,61.0,55.98,31.48,44.95,61.54
2006-01-18,35.18,11.78,44.32,52.86,68.41,62.33,18.73,61.5,25.22,34.79,222.68,131.85,41.69,84.46,22.6,61.69,39.35,20.44,34.66,76.99,33.03,26.83,10.66,24.09,58.55,46.53,61.22,55.99,31.19,44.88,61.09
2006-01-19,34.33,11.29,44.45,52.59,68.17,62.51,19.02,61.6,26.24,34.68,218.44,133.82,41.28,83.09,22.4,62.17,39.06,20.46,35.2,76.91,33.32,27.02,10.59,24.97,58.51,45.94,61.47,55.98,31.42,45.8,61.5
2006-01-20,33.74,10.87,43.92,51.4,66.5,60.78,18.51,61.12,25.72,33.37,199.93,131.44,40.17,81.36,21.76,60.8,38.05,20.04,35.86,75.24,33.25,26.41,10.52,24.71,57.84,45.01,59.48,55.01,30.94,45.0,60.53
2006-01-23,34.17,11.1,43.73,51.44,67.02,61.04,18.16,62.21,25.52,33.29,213.96,132.87,39.69,81.41,21.35,61.19,38.27,20.25,35.71,75.7,32.83,26.35,10.43,24.89,57.64,45.54,57.99,54.47,31.0,45.25,61.2
2006-01-24,34.87,10.86,44.02,52.82,67.66,61.35,18.33,62.05,25.99,32.96,221.74,133.0,40.45,80.85,21.28,59.36,38.11,20.4,35.85,74.2,32.78,26.28,10.5,24.59,57.87,45.32,58.31,56.45,30.89,45.72,60.96
2006-01-25,34.49,10.6,43.6,52.9,66.91,62.07,18.57,61.26,25.44,32.76,216.72,133.56,39.98,80.91,21.21,58.5,38.48,20.57,35.16,73.0,33.19,26.4,10.53,24.83,58.47,44.71,57.98,57.0,31.38,45.97,60.21
2006-01-26,35.17,10.33,44.68,53.32,68.72,65.17,18.58,60.22,25.08,33.02,217.35,137.4,40.4,80.72,21.49,58.64,39.59,20.74,34.94,72.7,33.95,26.5,10.5,25.05,58.82,46.2,57.89,57.52,31.68,46.32,59.95
2006-01-27,35.09,10.29,45.22,53.3,68.56,67.53,18.78,60.38,25.08,32.95,216.96,138.94,40.0,81.02,21.67,58.71,39.75,20.98,35.05,72.65,34.7,27.79,10.39,25.99,59.74,46.54,58.54,58.75,32.14,45.84,61.29
2006-01-30,35.05,10.71,44.96,52.68,69.03,67.01,18.89,60.75,25.46,32.93,213.62,139.87,40.0,81.63,21.65,58.4,39.85,20.88,35.02,72.65,34.46,28.0,10.22,25.94,59.14,46.25,57.77,58.36,31.9,46.41,63.11
2006-01-31,34.38,10.79,44.82,52.45,68.31,67.9,18.57,59.38,25.31,32.75,216.55,141.25,40.55,81.3,21.26,57.54,39.75,20.69,35.01,72.75,34.5,28.15,10.12,25.68,59.23,45.38,59.42,58.37,31.66,46.11,62.75
2006-02-01,35.0,10.77,43.98,52.62,71.62,69.24,18.58,58.7,25.27,33.14,201.09,141.71,40.23,81.94,21.55,57.86,39.88,20.75,35.67,73.19,34.66,28.04,10.39,26.05,59.82,45.61,59.5,58.0,31.8,46.14,61.95
2006-02-02,34.25,10.3,42.74,52.56,71.7,68.39,18.37,58.51,25.1,32.9,198.22,142.52,39.96,81.23,21.2,57.65,39.99,20.62,35.45,72.15,33.82,27.68,10.42,25.78,59.65,45.3,59.36,57.75,31.54,46.28,61.95
2006-02-03,33.54,10.26,38.33,52.33,70.87,68.13,18.15,57.5,25.01,32.85,190.97,142.74,39.82,79.97,20.74,57.38,39.53,20.44,35.97,71.1,34.39,27.54,10.46,25.28,59.68,44.79,59.62,57.18,31.61,45.49,61.39
2006-02-06,32.92,9.61,37.95,52.22,71.14,68.7,17.83,58.84,24.96,32.75,192.74,142.82,39.49,79.51,20.61,56.85,39.44,20.47,36.13,71.17,33.83,27.17,10.52,25.09,59.79,44.13,58.54,57.09,31.55,45.08,61.97
2006-02-07,33.02,9.66,37.52,52.07,71.55,67.16,18.09,57.74,26.7,32.31,184.14,139.48,38.73,79.85,20.67,56.8,39.26,20.52,36.19,70.65,33.69,26.94,10.43,25.18,59.32,43.77,57.73,56.89,31.5,44.74,60.55
